#Tele  #Face  #Strip  #slope  #offset
5  2  7  0.001476  -0.204771
5  2  8  0.001457  0.090072
5  2  9  0.00147  0.135636
5  2  10  1  0
5  2  11  0.001467  -0.151249
5  2  12  0.001463  -0.024832
5  2  13  0.001482  -0.105129
5  2  14  0.001476  -0.05208
5  2  15  0.001471  0.109854
5  2  16  0.00147  0.030241
5  2  17  0.001477  -0.154696
5  2  18  1  0
5  2  19  0.001477  -0.241373
5  2  20  0.001459  -0.041415
5  2  21  0.001464  -0.10702
5  2  22  1  0
5  2  23  0.001467  -0.122796
5  2  24  0.00144  -0.217192
5  2  25  0.001465  -0.092286
5  2  26  0.001454  0.076492
5  2  27  0.00147  -0.10479
5  2  28  0.001456  0.01965
5  2  29  0.001469  -0.147289
5  2  30  0.001458  0.073243
5  2  31  0.001452  -0.253671
6  0  0  0.000859  -1.30635
6  0  1  0.000873  -1.28055
6  0  2  0.000837  -1.22394
6  0  3  0.000861  -1.3538
6  0  4  0.000882  -1.19809
6  0  5  0.000844  -1.22009
6  0  6  0.000825  -1.18149
6  0  7  0.000843  -1.25568
6  0  8  0.000855  -1.25483
6  0  9  0.000912  -1.37054
6  0  10  0.000891  -1.3119
6  0  11  0.000876  -1.33789
6  0  12  0.000891  -1.40565
6  0  13  0.000893  -1.23091
6  0  14  0.000857  -1.33825
6  0  15  0.000779  -1.18013
6  0  16  0.000877  -1.41151
6  0  17  0.000883  -1.31381
6  0  18  0.000903  -1.31628
6  0  19  0.000873  -1.28611
6  0  20  0.000864  -1.31125
6  0  21  0.000863  -1.23193
6  0  22  0.000851  -1.24569
6  0  23  0.000806  -1.20302
6  0  24  0.000835  -1.22197
6  0  25  0.000901  -1.37827
6  0  26  0.000872  -1.26166
6  0  27  0.000864  -1.28077
6  0  28  0.00083  -1.23909
6  0  29  0.000856  -1.25497
6  0  30  0.000878  -1.27199
6  0  31  0.000892  -1.25116
6  1  0  1  0
6  1  1  0.001432  0.249487
6  1  2  0.001453  0.119568
6  1  3  0.001448  0.22497
6  1  4  0.001464  0.10132
6  1  5  0.001455  0.153765
6  1  6  0.001449  0.184537
6  1  7  0.00145  0.089061
6  1  8  0.00145  0.196804
6  1  9  0.001454  0.203059
6  1  10  0.001461  0.078171
6  1  11  0.001446  0.173059
6  1  12  0.001449  -0.081325
6  1  13  0.001461  0.202637
6  1  14  0.00146  0.168742
6  1  15  0.001468  0.325125
6  1  16  0.001461  0.211093
6  1  17  0.001461  0.073384
6  1  18  0.001475  0.218883
6  1  19  0.00147  0.275322
6  1  20  0.001458  0.165181
6  1  21  0.001457  0.082196
6  1  22  0.001464  -0.016025
6  1  23  0.001474  0.229906
6  1  24  0.001457  0.158912
6  1  25  0.001465  0.18305
6  1  26  0.001452  0.247407
6  1  27  0.001457  0.018515
6  1  28  0.001454  0.164136
6  1  29  0.001461  0.13242
6  1  30  0.001452  0.204861
6  1  31  0.001466  0.200138
6  2  0  0.001446  -0.274952
6  2  1  0.001467  -0.636824
6  2  2  0.001481  -0.450394
6  2  3  0.001474  -0.474817
6  2  4  0.001487  -0.432809
6  2  5  0.001482  -0.539459
6  2  6  0.001487  -0.243874
6  2  7  0.001488  -0.576793
6  2  8  0.003393  -7.58116
6  2  9  0.001484  -0.820414
6  2  10  0.001483  -0.124141
6  2  11  0.0015  -0.851639
6  2  12  0.001485  -0.359001
6  2  13  0.00149  -0.653632
6  2  14  0.001496  -0.401052
6  2  15  0.00151  -0.663007
6  2  16  0.001505  -0.537467
6  2  17  0.001526  -0.800173
6  2  18  0.001491  -0.608905
6  2  19  0.001522  -0.416641
6  2  20  0.001492  -0.362491
6  2  21  0.00152  -0.550332
6  2  22  0.001484  -0.355159
6  2  23  0.001524  -0.760574
6  2  24  0.00149  -0.462859
6  2  25  0.001513  -0.818938
6  2  26  0.001495  -0.515051
6  2  27  0.001515  -0.595044
6  2  28  0.001475  -0.353118
6  2  29  0.001509  -0.800576
6  2  30  0.001488  -0.26163
6  2  31  0.001511  -0.747356
7  0  0  0.0009  -1.72066
7  0  1  0.000881  -1.66168
7  0  2  0.000879  -1.63258
7  0  3  0.000838  -1.54886
7  0  4  0.000904  -1.72052
7  0  5  0.000852  -1.63696
7  0  6  0.000898  -1.65105
7  0  7  0.000876  -1.64483
7  0  8  0.000842  -1.65659
7  0  9  0.000856  -1.63646
7  0  10  0.00079  -1.49301
7  0  11  0.000883  -1.64268
7  0  12  0.000847  -1.52224
7  0  13  0.000888  -1.80381
7  0  14  0.000917  -1.72309
7  0  15  0.000889  -1.72792
7  0  16  0.000873  -1.60413
7  0  17  0.000866  -1.60712
7  0  18  0.000876  -1.51652
7  0  19  0.000836  -1.57551
7  0  20  0.000797  -1.4779
7  0  21  0.000885  -1.62605
7  0  22  0.000895  -1.73249
7  0  23  0.000874  -1.60532
7  0  24  0.0008  -1.49762
7  0  25  0.000823  -1.54875
7  0  26  0.000861  -1.6506
