#Tele  #Face  #Strip  #slope  #offset
2  1  5  1  0
2  1  6  1  0
2  1  7  1  0
2  1  8  1  0
2  1  9  1  0
2  1  10  1  0
2  1  11  1  0
2  1  12  0.001522  -0.797832
2  1  13  0.001473  -0.893964
2  1  14  0.001522  -1.01702
2  1  15  0.001492  -0.726124
2  1  16  0.001522  -0.475142
2  1  17  0.001464  -0.663023
2  1  18  0.001499  -0.425387
2  1  19  1  0
2  1  20  0.001515  -0.531793
2  1  21  1  0
2  1  22  0.001486  -0.271402
2  1  23  1  0
2  1  24  1  0
2  1  25  1  0
2  1  26  1  0
2  1  27  1  0
2  1  28  1  0
2  1  29  1  0
2  1  30  1  0
2  1  31  1  0
2  2  0  1  0
2  2  1  1  0
2  2  2  1  0
2  2  3  1  0
2  2  4  1  0
2  2  5  1  0
2  2  6  1  0
2  2  7  1  0
2  2  8  1  0
2  2  9  1  0
2  2  10  1  0
2  2  11  1  0
2  2  12  1  0
2  2  13  1  0
2  2  14  0.001483  -0.76612
2  2  15  0.001492  -0.654488
2  2  16  0.001486  -0.917281
2  2  17  0.001496  -0.632913
2  2  18  0.00147  -0.76177
2  2  19  0.001484  -0.552742
2  2  20  1  0
2  2  21  0.001483  -0.291623
2  2  22  1  0
2  2  23  1  0
2  2  24  1  0
2  2  25  1  0
2  2  26  1  0
2  2  27  1  0
2  2  28  1  0
2  2  29  1  0
2  2  30  1  0
2  2  31  1  0
3  0  0  0.000872  -1.53655
3  0  1  0.000869  -1.49217
3  0  2  0.000886  -1.60803
3  0  3  0.000847  -1.50541
3  0  4  0.000861  -1.59094
3  0  5  0.000854  -1.51917
3  0  6  0.000841  -1.60089
3  0  7  0.00082  -1.47803
3  0  8  0.00088  -1.50083
3  0  9  0.000865  -1.52496
3  0  10  0.000859  -1.50044
3  0  11  0.000863  -1.54075
3  0  12  0.000831  -1.49282
3  0  13  0.000859  -1.65173
3  0  14  0.000831  -1.49102
3  0  15  0.000886  -1.44538
3  0  16  0.000869  -1.64621
3  0  17  0.00085  -1.60405
3  0  18  0.000819  -1.55963
3  0  19  0.000865  -1.64544
3  0  20  0.000816  -1.49486
3  0  21  0.000863  -1.5464
3  0  22  0.000853  -1.5349
3  0  23  0.00083  -1.59978
3  0  24  0.000814  -1.53794
3  0  25  0.000862  -1.57195
3  0  26  0.000878  -1.63813
3  0  27  0.000786  -1.44553
3  0  28  0.000869  -1.60721
3  0  29  0.000826  -1.62578
3  0  30  0.000874  -1.60449
3  0  31  0.000865  -1.5698
3  1  0  1  0
3  1  1  1  0
3  1  2  1  0
3  1  3  1  0
3  1  4  1  0
3  1  5  1  0
3  1  6  1  0
3  1  7  1  0
3  1  8  1  0
3  1  9  1  0
3  1  10  1  0
3  1  11  1  0
3  1  12  0.00156  -0.44153
3  1  13  0.001505  -0.3689
3  1  14  0.001557  -0.364849
3  1  15  0.001509  -0.491351
3  1  16  0.00155  -0.317883
3  1  17  0.001488  -0.236303
3  1  18  1  0
3  1  19  1  0
3  1  20  0.001541  -0.246268
3  1  21  1  0
3  1  22  1  0
3  1  23  1  0
3  1  24  1  0
3  1  25  1  0
3  1  26  1  0
3  1  27  1  0
3  1  28  1  0
3  1  29  1  0
3  1  30  1  0
3  1  31  1  0
3  2  0  1  0
3  2  1  1  0
3  2  2  1  0
3  2  3  1  0
3  2  4  1  0
3  2  5  1  0
3  2  6  1  0
3  2  7  1  0
3  2  8  1  0
3  2  9  1  0
3  2  10  1  0
3  2  11  1  0
3  2  12  1  0
3  2  13  1  0
3  2  14  0.001515  -0.778381
3  2  15  0.001515  -1.1137
3  2  16  0.001532  -0.750866
3  2  17  0.0015  -1.04317
3  2  18  0.001505  -0.670148
3  2  19  1  0
3  2  20  1  0
3  2  21  1  0
3  2  22  1  0
3  2  23  1  0
3  2  24  1  0
3  2  25  1  0
3  2  26  1  0
3  2  27  1  0
3  2  28  1  0
3  2  29  1  0
3  2  30  1  0
3  2  31  1  0
4  0  0  0.000873  -1.32247
4  0  1  0.000832  -1.19076
4  0  2  0.000843  -1.17188
4  0  3  0.000859  -1.22578
4  0  4  0.000834  -1.23729
4  0  5  0.000824  -1.16868
4  0  6  0.000857  -1.17913
4  0  7  0.000852  -1.19552
4  0  8  0.000852  -1.29015
4  0  9  0.000834  -1.25116
4  0  10  0.000849  -1.30281
4  0  11  0.000856  -1.08896
4  0  12  0.000839  -1.22628
4  0  13  0.000874  -1.26899
4  0  14  0.00086  -1.17031
4  0  15  0.000849  -1.15042
4  0  16  0.000862  -1.33081
4  0  17  0.000856  -1.22563
4  0  18  0.000824  -1.18656
4  0  19  0.000845  -1.18319
4  0  20  0.000834  -1.19744
4  0  21  0.000809  -1.24947
4  0  22  0.000844  -1.19059
4  0  23  0.000828  -1.16427
4  0  24  0.000856  -1.22818
4  0  25  0.000864  -1.24533
4  0  26  0.000892  -1.30466
4  0  27  0.0006  -0.859781
4  0  28  0.00087  -1.20583
4  0  29  0.000858  -1.26183
4  0  30  0.00084  -1.22861
4  0  31  0.000749  -1.02026
4  1  0  0.003616  -8.14367
4  1  1  0.001453  0.162858
4  1  2  0.001471  0.104811
4  1  3  0.001446  -0.08302
4  1  4  0.001476  0.015061
4  1  5  0.001449  0.024396
4  1  6  0.001473  -0.075775
4  1  7  0.001457  -0.091208
4  1  8  0.001476  -0.098203
4  1  9  0.001456  -0.152839
4  1  10  0.001474  -0.163531
4  1  11  0.001458  0.212757
4  1  12  0.001472  -0.028735
4  1  13  0.001454  0.026487
4  1  14  0.001478  -0.00383
4  1  15  0.001452  -0.047429
4  1  16  0.001471  -0.021813
4  1  17  0.001448  -0.042886
4  1  18  0.001473  -0.045314
4  1  19  0.001453  -0.141677
4  1  20  0.001473  -0.074482
4  1  21  0.001461  -0.01416
4  1  22  0.001464  0.0447
4  1  23  0.00145  -0.136252
4  1  24  0.001463  -0.044372
4  1  25  0.001458  0.158935
4  1  26  0.001467  -0.052814
4  1  27  0.001468  0.105307
4  1  28  0.001461  -0.061126
4  1  29  0.001471  -0.152426
4  1  30  0.001464  -0.066309
4  1  31  0.00145  0.096259
4  2  0  0.001416  -0.479916
4  2  1  0.001421  -0.210215
4  2  2  0.001423  -0.375925
4  2  3  0.001416  -0.313996
4  2  4  0.001421  -0.331616
4  2  5  0.001418  -0.29896
4  2  6  0.001431  -0.352958
4  2  7  0.001428  -0.214382
4  2  8  0.001434  -0.275879
4  2  9  0.001437  -0.20916
4  2  10  0.001426  -0.302497
4  2  11  0.001437  -0.328053
4  2  12  0.001437  -0.319817
4  2  13  0.001441  -0.258608
4  2  14  0.001429  -0.167085
4  2  15  0.001428  -0.314465
4  2  16  0.001439  -0.220597
4  2  17  0.00143  -0.310199
4  2  18  0.001431  -0.207755
4  2  19  0.001429  -0.105706
4  2  20  0.001423  -0.155527
4  2  21  0.001434  -0.321358
4  2  22  0.001439  -0.355627
4  2  23  1  0
4  2  24  0.001439  -0.092316
4  2  25  0.00143  -0.190074
4  2  26  0.001433  -0.375372
4  2  27  0.001434  -0.151782
4  2  28  0.001436  -0.419795
4  2  29  0.001429  -0.171413
4  2  30  0.00142  -0.306623
4  2  31  1  0
5  0  0  0.000845  -1.25656
5  0  1  0.000845  -1.20401
5  0  2  0.00083  -1.14013
5  0  3  0.000838  -1.22782
5  0  4  0.000845  -1.24073
5  0  5  0.000824  -1.18572
5  0  6  0.000849  -1.18735
5  0  7  0.000883  -1.34349
5  0  8  0.000858  -1.19908
5  0  9  0.000841  -1.24322
5  0  10  0.000849  -1.13339
5  0  11  0.000861  -1.27792
5  0  12  0.000848  -1.24204
5  0  13  0.000868  -1.30951
5  0  14  0.000834  -1.25786
5  0  15  0.00085  -1.28747
5  0  16  0.000814  -1.0482
5  0  17  0.000814  -1.17362
5  0  18  0.000854  -1.27247
5  0  19  0.000852  -1.16097
5  0  20  0.000854  -1.17392
5  0  21  0.000827  -1.21831
5  0  22  0.00084  -1.16636
5  0  23  0.000863  -1.2289
5  0  24  0.000864  -1.27232
5  0  25  0.000862  -1.24049
5  0  26  0.000878  -1.23337
5  0  27  0.000852  -1.20233
5  0  28  0.000859  -1.11195
5  0  29  0.00085  -1.16721
5  0  30  0.000812  -1.12805
5  0  31  0.000815  -1.15019
5  1  0  0.001466  -0.134187
5  1  1  0.001437  0.065387
5  1  2  0.001463  -0.00877
5  1  3  0.001441  0.126171
5  1  4  0.001457  -0.036976
5  1  5  0.001442  -0.09046
5  1  6  0.001462  -0.16112
5  1  7  0.001436  0.207488
5  1  8  0.001464  -0.141818
5  1  9  0.001436  0.156845
5  1  10  0.001458  -0.034195
5  1  11  0.001441  0.03216
5  1  12  0.001459  -0.044512
5  1  13  0.001444  0.076687
5  1  14  0.001454  -0.013938
5  1  15  0.001448  0.036914
5  1  16  0.001464  -0.035569
5  1  17  0.00144  0.074948
5  1  18  0.001465  -0.222299
5  1  19  0.00144  0.138745
5  1  20  0.001465  0.043479
5  1  21  0.001439  -0.007897
5  1  22  0.001465  0.000628
5  1  23  0.001438  0.095144
5  1  24  0.001468  0.020083
5  1  25  0.001441  -0.106877
5  1  26  0.001458  -0.04487
5  1  27  0.001427  -0.009079
5  1  28  0.001458  -0.049985
5  1  29  0.001431  0.091545
5  1  30  0.001465  0.042894
5  1  31  0.001442  -0.029724
5  2  0  0.001443  0.083836
5  2  1  0.001481  -0.208644
5  2  2  0.00146  0.030233
5  2  3  0.001476  0.109659
5  2  4  0.001457  -0.002954
5  2  5  0.001475  -0.109539
5  2  6  0.001452  0.061294
